Date,RegionID,RegionName,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
5/31/2019,41,New Mexico,36,195000,-0.003576903,-0.002047083,0.054054054,0.045505548,0.009106652,2019-03,2019-Q1,196000,-0.005102041,2019-02
5/31/2019,61,West Virginia,37,96500,-0.002068252,-0.016309888,0.020084567,0.030599302,0.017162384,2019-01,2019-Q1,98200,-0.017311609,2018-10
5/31/2019,38,Nebraska,38,165600,0,0.001814882,0.063583815,0.058542887,0.034207204,2019-05,2019-Q2,165600,0,2019-05
5/31/2019,20,Idaho,39,266400,0.00263455,0.018348624,0.157757497,0.096330877,0.043334776,2019-05,2019-Q2,266400,0,2019-05
5/31/2019,18,Hawaii,40,614100,-0.004538823,-0.010154739,0.00853999,0.051298162,0.034041346,2019-01,2019-Q1,621300,-0.011588605,2018-07
5/31/2019,28,Maine,41,232600,-0.002145002,-0.003427592,0.054875283,0.050980082,0.030224176,2019-03,2019-Q1,233600,-0.004280822,2019-02
5/31/2019,39,New Hampshire,42,277200,-0.000720981,0.001083424,0.055196041,0.056092976,0.02450347,2019-04,2019-Q2,277400,-0.000720981,2019-03
5/31/2019,50,Rhode Island,43,281700,-0.002478754,-0.002831858,0.031868132,0.053380817,0.020705408,2005-10,2005-Q4,297000,-0.051515152,2004-12
5/31/2019,35,Montana,44,235600,-0.005907173,-0.010915197,0.049910873,0.044952986,0.026036218,2019-03,2019-Q1,238300,-0.011330256,2018-12
5/31/2019,13,Delaware,45,236600,-0.00336984,-0.005464481,0.012409071,0.037734476,0.006753068,2018-01,2018-Q1,240000,-0.014166667,2017-12
5/31/2019,52,South Dakota,46,190100,0.002108593,0.002637131,0.049116998,0.052911973,0.030110931,2019-05,2019-Q2,190100,0,2019-05
5/31/2019,3,Alaska,47,312800,0.008056719,0.022890778,0.018892508,0.018503569,0.012741841,2019-05,2019-Q2,312800,0,2019-05
5/31/2019,37,North Dakota,48,206700,0.000484027,0.003398058,0.017725258,0.037800884,0.043442478,2019-05,2019-Q2,206700,0,2019-05
5/31/2019,58,Vermont,49,202500,0.002971768,-0.00098668,0.039527721,0.020457184,0.010952891,2019-01,2019-Q1,203000,-0.002463054,2018-12
5/31/2019,12,District of Columbia,50,566900,-0.011335891,-0.025442668,0.005855216,0.051129317,0.047067009,2018-12,2018-Q4,582400,-0.026614011,2018-07
5/31/2019,62,Wyoming,51,226300,-0.002644337,0.000442087,0.036646816,0.034499386,0.02174417,2019-04,2019-Q2,226900,-0.002644337,2019-03
